Samples,IL22_IFNL.12h.Rep.1,IL22_IFNL.12h.Rep.2,IL22_IFNL.12h.Rep.3,IL22_IFNL.24h.Rep.1,IL22_IFNL.24h.Rep.2,IL22_IFNL.24h.Rep.3,IL22_IFNL.3h.Rep.1,IL22_IFNL.3h.Rep.2,IL22_IFNL.3h.Rep.3,IL22_IFNL.6h.Rep.1,IL22_IFNL.6h.Rep.2,IL22_IFNL.6h.Rep.3,IFNL.12h.Rep.1,IFNL.12h.Rep.2,IFNL.12h.Rep.3,IFNL.24h.Rep.1,IFNL.24h.Rep.2,IFNL.24h.Rep.3,IFNL.3h.Rep.1,IFNL.3h.Rep.2,IFNL.3h.Rep.3,IFNL.6h.Rep.1,IFNL.6h.Rep.2,IFNL.6h.Rep.3,IL22.12h.Rep.1,IL22.12h.Rep.2,IL22.12h.Rep.3,IL22.24h.Rep.1,IL22.24h.Rep.2,IL22.24h.Rep.3,IL22.3h.Rep.1,IL22.3h.Rep.2,IL22.3h.Rep.3,IL22.6h.Rep.1,IL22.6h.Rep.2,IL22.6h.Rep.3,Mock.12h.Rep.1,Mock.12h.Rep.2,Mock.12h.Rep.3,Mock.24h.Rep.1,Mock.24h.Rep.2,Mock.24h.Rep.3,Mock.3h.Rep.1,Mock.3h.Rep.2,Mock.3h.Rep.3,Mock.6h.Rep.1,Mock.6h.Rep.2,Mock.6h.Rep.3
AHR,0.614580381336147,1.61859024051678,0.968380836619784,0.854576232570717,-0.207059870486483,0.929476415348578,-0.51320568031922,-0.0603189145970319,-0.481633585123903,1.2164754483633,0.863517470135838,2.60130108347298,1.20379563244776,0.592043619496323,-0.567357219579711,-3.14448523068362,-2.45734202775318,0.183547326358516,-1.32437994373802,0.680820435981372,-0.909450476816782,3.56885415524978,-0.0138762573413741,2.18055986670864,-0.113626208221312,0.40745079441383,0.251863594090898,-0.747959392990607,-0.777284141039401,-5.1871130248453,-0.882526325997607,0.358860421827905,-1.44283332221784,1.10407948154247,1.51118416295792,4.35808115641557,-0.00244947451310239,1.06568780787581,0.483681427809232,-0.693941270221469,-1.50724292847226,-0.934904624673195,-1.278447812953,-0.631573675553318,-0.468866863122406,2.80318730223053,2.45213993226969,1.08688837540735
AR,0.75532262805156,0.330306433678445,-0.942900245841646,-0.275267609752969,0.212298181133317,0.349012111053857,2.40528293130142,-0.267142465378192,1.57190673479262,0.914307180216846,1.15082432697935,-0.00664462516301696,-2.11452669070231,-0.434284219171037,-0.770081009736161,0.477828484891659,-0.504694576561093,-0.699063622152804,1.01189327618946,0.956419924597594,0.645562151418927,0.365675153346967,0.323720149295683,0.769903908575676,-0.58288585153744,-2.10085454879767,-0.701972290323108,-0.927591836359501,-0.252681121207343,1.49715690243485,1.46574780815346,0.464881278659093,1.36225003388163,-0.638109469918997,0.27182995887026,-1.26026700003435,-0.592625808715925,-2.76061041267331,-0.0689065351932014,-1.85742185627865,-0.752052923881124,-0.622479880618007,0.865823245207644,-0.119384641481314,0.13597341770685,-0.27082848003821,-0.722305201802434,-1.63373085991001
ARID2,2.05818481005091,4.16089062208912,3.84173442079163,2.81116341114802,1.71596725825863,2.44068343945638,-2.58953685712226,-1.51950300395717,-2.88666781362829,2.39943635270706,1.066184042976,1.24927150364697,3.6038806511751,2.78080742321355,0.960257373121243,-2.78720949073054,0.508659364597006,2.19230802508825,-2.53140660076728,1.33387139028629,-1.66256522697056,2.65026838494944,1.8150527768143,2.35842146431021,0.961796369601473,2.79347677643872,2.84050028706582,0.827236244619914,1.12324112243863,-6.15492337286382,-4.75569914102906,-1.30428936804627,-5.94124885901002,0.910314319770635,-1.60969476552205,2.77459988908147,0.885209638227874,2.65191469733817,1.57510712747686,1.13842392841343,-1.43078246981655,-1.78671588077531,-2.76121372879057,-2.54002887903983,-2.56548444671197,0.537291327088531,0.809709954429605,0.886033938066012
ARNT,-0.796961211608337,1.08239708404951,-0.342522763980512,-0.0888953807168991,-1.011092385929,0.665589704352729,0.522285284980528,2.2933984356021,0.470191561349979,0.053203588785103,-1.14630230342983,-0.193292867444047,-0.737206326778494,0.152224238059904,-2.48353660751135,-3.12746339487943,-2.33833440572653,0.187399348083241,-0.741823971294249,2.67774364817459,1.02439508117836,2.71749018391501,-1.70754371486644,0.2509051827062,-1.60007884583679,0.104777624562952,1.14050554118158,0.881879327374283,-0.0930628232325549,-5.55833127472965,0.564538679540813,2.52524150853314,-1.65746226182578,0.404758102377562,-2.125892566814,2.94950186915963,0.682938075363829,1.13490394903071,1.56353773669226,2.07138179488148,-0.535356264266597,0.21198689083652,1.0772256516458,0.717940665656925,1.8339506048909,1.85277535971428,1.4261899622886,0.869825756819014
ASCL1,-2.52036935954279,-1.86996096541188,-3.3530354970245,1.26841019088532,-0.267490473596571,2.91690166509562,-0.435935706886387,0.62377724008801,-1.16293107772082,-0.689015784287454,-4.11270485528998,-2.21916799246278,-0.861072748527352,-2.01485518036161,-0.954563177830998,1.95616794254727,0.335396604154548,3.24671751411034,-1.85501364594662,0.535666408234354,-0.195304487365453,0.96260956233333,-3.1040686699628,-2.72715829497516,-2.8979858529353,-0.329694339329743,-0.934379148566203,-0.125256278631605,-0.236080809450836,-0.202811809680777,-0.605688168116289,2.19449096399923,-0.920725709790722,-1.52970339783397,-1.94497539271349,3.030596270564,0.39084335444088,1.43683796387883,2.37867294075316,3.15950824589022,0.187248384400405,3.01263841105157,-0.63145775246997,0.928843237467763,0.320767488001472,1.21848020898087,-0.036874484995765,-0.189646869828395
ATF3,0.0194732171678767,-0.676317439811346,-0.30032759956687,1.60661530947204,2.1293982411635,2.7332541057149,-3.28300655277688,-4.36114882779872,-2.46068111903593,-1.90382080120462,-1.09532872645366,-1.38561601578972,1.69548514552019,1.35488907323903,2.51567191379812,3.93986989512923,4.06530001325846,2.00141410602894,-4.21918757794821,-5.23972466958898,-4.45627491253279,-3.23649254579534,-1.25883486518116,-1.68158854604971,2.29401883287395,1.42116202724637,1.07374086940598,3.3828770828362,4.04429300400949,3.44545589517978,-2.19824528447305,-3.39930819155375,-1.73368487831979,-0.385555469140238,-1.31201090946983,-2.86858072893909,3.29731415223471,3.05825468308297,2.43933562910474,2.74481529782399,3.6274797183432,3.1946909602066,-2.38073166742533,-4.13128471396878,-3.23666733779827,-2.08118137772355,-2.14458333510691,-1.62901739725145
ATF7,-1.73418436854925,0.0757831209607925,-1.37475548421065,1.2520944442878,-0.536762157248107,1.3034513177566,-0.872327465556984,-0.113839573583294,-2.23739037381766,-0.749877814285343,-2.6496093939305,-1.66525974324162,-0.543429081297504,-0.293460980222928,-1.16190356787885,0.490069843434374,-0.135141377574347,2.18888292321191,-1.14194161510575,2.03415276744646,0.479374057218445,2.9943101103975,-1.10366592792067,0.506440440534213,-1.57787403660378,1.78579706545409,-1.03032820715106,1.23966604305493,0.768487768188309,-1.92777689239804,-2.1506657760712,0.557708681544681,-2.91335742204907,-1.43991635462264,-2.22383830327685,2.5772127963071,-0.808486063146413,0.460702627177965,0.553670593262931,3.0237412637894,0.356870358087903,1.3458855230869,0.487494509664558,1.50572424138338,1.2393804905671,1.97591671883785,1.43273412746167,0.257847693211049
BACH1,0.921114800673679,2.25170462317334,1.9209654241446,0.551764122974233,-0.913031169218766,-0.540166690512392,-1.86168118854281,-0.442709879888647,-1.63948219244847,1.20682340957495,0.936030161696668,1.01816491991497,0.289448317789761,1.10484537923868,0.333639185878903,-1.51061686514714,-0.709866907512884,-0.691439694396925,-0.389136146728558,-0.198070941906979,-0.279993006032312,2.21361514332385,1.20345979446062,1.51333472541403,1.67687439057376,1.13167080050734,0.271528426624133,0.421244243795558,-1.50786929819321,-0.996723722751695,-1.11202225624542,-0.913221035011492,-1.84101570162223,0.614412542510945,0.761908707751414,1.1551228907691,1.24184271431444,-0.105292737013144,0.38483589616179,-1.56236851341749,-0.430305106750328,-1.40054059609792,-0.692663048382817,-0.715182564882849,-0.639985872829806,1.24912489946594,0.213492396104608,1.26966833366129
BACH2,1.11015194805799,2.44659271467297,1.2354792158102,0.246560379957447,-0.154661477097603,0.967614922766431,0.207324464157896,0.616369335218157,0.175477045395793,-0.602657423186491,-1.47020799161694,-0.944135368621476,0.604009260280856,0.959546341069229,0.658454564815307,-2.45603644909017,-1.48404583156538,0.172369688046652,0.0777194981911633,0.726884654330731,1.09988278294854,0.869617507503626,-0.871200812524671,0.242886716060688,0.364555955719375,0.831751255443382,0.932503711507224,-0.534146088466166,-1.04390545697635,-1.29580851794682,-0.753106619661575,0.81807838601492,-0.420074714526894,-0.568080297666397,-0.502132200201094,1.56389242370809,-0.100259871126896,0.352824435979201,0.413329110473445,-0.804057315070111,-2.1321101097391,-1.0633245152575,-0.443518315172132,0.887384634813756,1.11829087989278,1.48069382708416,0.79530453678849,0.68289394854878
BATF,2.07633255688343,2.03197700578543,2.5263629244821,0.964893161066881,-0.10835410163549,1.25684186201588,0.66849974491483,0.347514713448178,0.740547304183712,0.396381311097201,1.10508614527279,1.47763178104361,-0.146404787603656,0.626615365776842,1.06065618366433,-1.1599178856911,-0.729047823059039,0.133490729131023,-0.376857480874867,0.863585617404079,0.644341749733461,2.13075997455105,-1.62729693139289,0.211656312448051,0.291210973911099,-0.448009060658457,-0.159976792872002,-0.298690309926239,-0.808885405209325,-2.30907883113669,-0.693603729974488,0.676678410396041,-1.50802130682603,-0.481819175744134,-0.403834924732683,1.66530771266475,-0.65658205259274,-0.90932692880176,-0.0784345259970025,-0.950360088000359,-1.02169076955024,-0.250553540101209,-0.516952078677665,-1.23354351351604,-0.218448021507924,-0.293855384177288,-0.905548968624456,-1.24780939908551
