Samples,Androgen,EGFR,Estrogen,Hypoxia,JAK.STAT,MAPK,NFkB,p53,PI3K,TGFb,TNFa,Trail,VEGF,WNT
IL22_IFNL-12h-Rep-1,-0.480603375565606,-0.0352139754381916,0.635991540765479,-0.278296337465239,0.98760741937489,0.632409697898302,0.262544713734613,-1.69843842505209,0.800191088336128,-1.32390994055778,0.222624650661992,-0.766159372796065,-0.571484913342903,1.07786103749259
IL22_IFNL-12h-Rep-2,-0.272923749021793,0.204694704080841,-0.495315914570148,-0.613718866091895,1.0660371836006,1.1433468195173,0.706477298561999,-1.50215154943629,0.595289425673645,-1.13209735853303,0.619275880335905,-0.42708879098537,-0.0871794880175615,2.01400072668457
IL22_IFNL-12h-Rep-3,0.454437033973948,0.257792696505707,0.027943024229817,-0.314752866918832,1.09825056475728,1.29276028161066,0.874723991943052,-1.98473810429579,1.05472053979973,-0.775666621261899,0.774533369227263,-0.328243416136148,-0.17386480913105,1.47736647442614
IL22_IFNL-24h-Rep-1,-0.700186972719808,-0.873167190190273,1.10988487423737,-0.465568633024817,1.15386746856845,-0.111455536843334,-0.192952381766977,-0.252247791482762,-0.114359088454982,-0.851671263137311,-0.291723308287001,1.17096037313671,-0.534259531666835,1.11543513910112
IL22_IFNL-24h-Rep-2,-0.500968245978251,-0.865919982063801,1.19406636235817,-0.186916190756068,1.18981203292827,-0.0488426454045884,-0.186826255794708,-0.866949958129691,-0.208843215339127,-0.726798769206417,-0.312014142205076,0.646284469421289,-0.914248215624878,0.939815856661671
IL22_IFNL-24h-Rep-3,-1.14268224273006,-2.07109352132636,1.25081701316626,2.14030824900165,1.39701724053903,-1.3821199906148,0.246500928181641,1.39444820458287,-2.00512895998726,0.592128458611604,0.122553100407119,4.02913694242682,-0.411697701919403,1.10581521567788
IL22_IFNL-3h-Rep-1,1.82806675622398,1.33971366070871,1.13145476359277,1.47226304146751,0.306249476095973,0.662149712811722,1.77231965037723,1.10660758223286,0.36345257238452,1.16510952539244,1.76431057166553,-0.933503904588186,1.20485812631962,-1.48607187481778
IL22_IFNL-3h-Rep-2,1.33955474467773,1.37054874565444,0.22862886384637,1.37266696702846,0.119549657354043,1.07090747369094,1.48358183679698,0.955749310255708,0.525082692762847,1.72541893245846,1.44426370741057,-1.07123082118831,1.53225056110081,-1.33016632791715
IL22_IFNL-3h-Rep-3,1.37395377981042,1.18039436005958,1.04916477893638,1.43980300741651,0.208861041511249,0.738717575919314,1.45252304477538,0.987998540748256,0.472568230469318,1.54894996574258,1.49870447474731,-0.125369163179396,1.2253899394481,-0.718506247572487
IL22_IFNL-6h-Rep-1,0.902420158714642,0.865375063380739,-0.87499168835295,1.21451335998004,1.0530203998215,1.23302366341593,1.394687718204,-0.515339898211576,0.486124847474491,0.364294364332157,1.28148902262501,-0.26104287620804,1.11285564436167,0.702549900614839
IL22_IFNL-6h-Rep-2,1.40102596397198,1.00125506281822,-0.820326938042281,1.51168372854796,1.0584288977068,1.47524779995251,1.49112659833062,0.643246367763548,0.529471264574063,0.613830684374943,1.3605783509922,-0.412949481404544,1.02028086266841,0.597671975781365
